omsid,image_url,width,depth,height,canopy,style,taxonomy
205542557,https://images.homedepot-static.com/productImages/d62d5300-f3d5-4238-80dd-a45007739838/svn/black-tadpoles-chandeliers-cchacr120-64_1000.jpg,9,9,10.5,4,Glam,Lighting>Chandeliers
205882843,https://images.homedepot-static.com/productImages/159a9720-f9fb-4a64-841f-7efadb49284b/svn/burnished-silver-feiss-chandeliers-p1312bus-64_1000.jpg,18.18,31.38,28.125,5.5,Glam,Lighting>Chandeliers
205882844,https://images.homedepot-static.com/productImages/fb41693f-a26c-4888-aa96-6070f25a8e2d/svn/silver-feiss-chandeliers-p1312slv-64_1000.jpg,18.18,31.38,28.125,5.5,Glam,Lighting>Chandeliers
205882845,https://images.homedepot-static.com/productImages/dc3b83e9-b753-4ff9-891b-93e95e7016e8/svn/burnished-silver-feiss-chandeliers-p1313bus-64_1000.jpg,12,18.5,12.75,5.5,Glam,Lighting>Chandeliers
205882846,https://images.homedepot-static.com/productImages/a2ce4d6b-beb9-45dc-9933-b1241d4ea08e/svn/silver-feiss-chandeliers-p1313slv-64_1000.jpg,12,18.5,12.75,5.5,Glam,Lighting>Chandeliers
205970362,https://images.homedepot-static.com/productImages/83d70024-3976-4d98-afd7-09767091fc21/svn/burnt-sienna-sea-gull-lighting-chandeliers-6514401-710-64_1000.jpg,13.25,13.25,12,6,Industrial,Lighting>Chandeliers
205970362,https://images.homedepot-static.com/productImages/8626a94a-a264-4eed-848f-f95152a72308/svn/burnt-sienna-sea-gull-lighting-chandeliers-6514401-710-64_1000.jpg,13.25,13.25,12,6,Industrial,Lighting>Chandeliers
205970373,https://images.homedepot-static.com/productImages/1086a839-eb9e-4729-8585-ce1d13ad95b2/svn/brushed-nickel-sea-gull-lighting-chandeliers-6514401-962-64_1000.jpg,13.25,15,12,6,Industrial,Lighting>Chandeliers
205970376,https://images.homedepot-static.com/productImages/331619f3-3180-43a7-9ab8-51ecda799321/svn/burnt-sienna-sea-gull-lighting-chandeliers-6514402-710-64_1000.jpg,17.25,19,15.5,6,Industrial,Lighting>Chandeliers
205970377,https://images.homedepot-static.com/productImages/d44b6ec2-1d48-49ee-82c1-62b92676d2d6/svn/brushed-nickel-sea-gull-lighting-chandeliers-6514402-962-64_1000.jpg,17.25,17.25,15.5,6,Industrial,Lighting>Chandeliers
205970396,https://images.homedepot-static.com/productImages/6ee796b5-fef8-42ee-83f7-2b8b39d6baf3/svn/burnt-sienna-sea-gull-lighting-chandeliers-6525401-710-64_1000.jpg,15.75,15.75,14.875,5.13,Rustic,Lighting>Chandeliers
205970397,https://images.homedepot-static.com/productImages/33bd84a6-a2c5-4a7f-8b6f-bc9fb26c1e72/svn/stardust-sea-gull-lighting-chandeliers-6525401-846-64_1000.jpg,15.75,15.75,14.875,5.13,Rustic,Lighting>Chandeliers
205970397,https://images.homedepot-static.com/productImages/5f7c844f-7451-4736-8661-cf989807880c/svn/stardust-sea-gull-lighting-chandeliers-6525401-846-64_1000.jpg,15.75,15.75,14.875,5.13,Rustic,Lighting>Chandeliers
205970427,https://images.homedepot-static.com/productImages/3135ea68-4cd3-45a7-81cc-11c01380c01c/svn/chrome-sea-gull-lighting-chandeliers-65439-05-64_1000.jpg,17,20,12.25,6.63,Farmhouse,Lighting>Chandeliers
206161300,https://images.homedepot-static.com/productImages/d18fe5a4-5052-49b2-956a-56fc6a765985/svn/brushed-nickel-progress-lighting-chandeliers-p3505-09-64_1000.jpg,16.625,16.625,21.875,5,Farmhouse,Lighting>Chandeliers
206161300,https://images.homedepot-static.com/productImages/d50af92d-bee7-4de9-b5e1-3cf231a90abd/svn/brushed-nickel-progress-lighting-chandeliers-p3505-09-64_1000.jpg,16.625,16.625,21.875,5,Farmhouse,Lighting>Chandeliers
206161300,https://images.homedepot-static.com/productImages/615eee3b-073a-4003-9c71-a0d08778f61f/svn/brushed-nickel-progress-lighting-chandeliers-p3505-09-64_1000.jpg,16.625,16.625,21.875,5,Farmhouse,Lighting>Chandeliers
